gen,best_fitness,avg_fitness,mutation_rate,dots_reached,best_path_len
0,0.278042,0.033364,0.05,11,276
1,1.112069,0.161193,0.045512,55,160
2,2.435294,0.334694,0.036067,80,126
3,2.435294,0.707197,0.031067,87,126
4,2.976471,1.335275,0.027906,99,128
5,4.483784,2.030301,0.025695,100,106
6,4.483784,2.316285,0.024045,99,106
7,4.483784,2.575882,0.022756,100,106
8,4.767857,2.88905,0.021715,99,108
9,4.942424,3.349401,0.020852,98,94
10,4.942424,3.828539,0.020121,100,94
11,4.942424,4.073501,0.019494,99,94
12,4.942424,4.27344,0.018946,99,94
13,4.942424,4.400269,0.018463,100,94
14,4.942424,4.481235,0.018034,100,94
15,4.942424,4.437581,0.017648,99,94
16,4.942424,4.4684,0.034598,100,94
17,4.942424,4.465645,0.016981,100,94
18,4.942424,4.580412,0.033381,100,94
19,4.942424,4.533234,0.016423,100,94
20,4.942424,4.573678,0.032352,100,94
21,4.942424,4.573641,0.015946,100,94
22,4.942424,4.577302,0.031466,100,94
23,4.942424,4.604815,0.015533,100,94
24,4.942424,4.640575,0.015346,100,94
25,4.942424,4.661693,0.015171,100,94
26,4.942424,4.689675,0.015005,100,94
27,4.942424,4.724264,0.014849,100,94
28,4.942424,4.752189,0.014701,100,94
29,4.942424,4.763107,0.01456,100,94
30,4.942424,4.785633,0.014427,100,94
31,4.942424,4.772236,0.0143,100,94
32,4.942424,4.808515,0.028358,100,94
33,4.942424,4.850726,0.014063,100,94
34,4.942424,4.835321,0.013953,100,94
35,4.942424,4.905225,0.027694,100,94
36,4.942424,4.90281,0.013745,100,94
37,4.942424,4.888118,0.027296,100,94
38,4.942424,4.882861,0.027109,100,94
